"Hash","FilePath"
"4624F76E07B9E7F5A6427ED25BE14E15E9AE78B453803E0D6F39BDFDF0DE2568","C:\Windows\System32\drivers\hvcrash.sys"
"EBDC0DAF66CF197B7268006387AEF3AD1731E3E9E1824BD341583DEEB20DF376","C:\Windows\System32\drivers\hvservice.sys"
"E6ADC38495311B7EA6688D10A893E5C63512874DEF804E2CF5DFFA8E20C219B1","C:\Windows\System32\drivers\hvsocket.sys"
"755ADA27A06E9EA9BC690B1E66EF1FE0F1209F50520D32C4DE7F7A8204BBF41F","C:\Windows\System32\drivers\hvsocketcontrol.sys"
"2C5BF5CD6C6F7830E8F5DF9FBD701A89D0700B0103D74D5018458DB00C9E1B84","C:\Windows\System32\drivers\hwpolicy.sys"
"1A5592CFBC576FD90569D219B5A1E21B9F6A062B54CD6A5974504C393D4549DB","C:\Windows\System32\drivers\hyperkbd.sys"
"59513BD70E155ECF5FB02CFC40D6E747446B4FED57CA4AC3BC7C028B600DF1D4","C:\Windows\System32\drivers\HyperVideo.sys"
"364BD13D818A20BBF3FF67900CDE25287F976514E873377B6C679A33DDF948D4","C:\Windows\System32\drivers\i8042prt.sys"
"FAAA46F22944E043A90AE6E9F0F86AF187FC2819C563DA375B2A409347BB2C35","C:\Windows\System32\drivers\iagpio.sys"
"9296A14590DFD94A3C728CAF3CA91BA211F27974F9CFF8417CDDC00D1453315C","C:\Windows\System32\drivers\iai2c.sys"
"2141DE558461B592D4111A0388D1AAC8062FA72CD1E2A2D2D68279A9633288E9","C:\Windows\System32\drivers\iaLPSS2i_GPIO2_BXT_P.sys"
"E353D90D0B79A70F976FD5EA1CB7E25A97835E25116962EA035424715B2F43FE","C:\Windows\System32\drivers\iaLPSS2i_GPIO2_CNL.sys"
"71FDC25244298D62A335769D6ED43394C33FBD8DB05AA54CA924A2977F37858F","C:\Windows\System32\drivers\iaLPSS2i_GPIO2_GLK.sys"
"6FF5D13EF69E8FBCB4772C7B5C4D5770C78E0B29F9164FA1611EFDE91CE876BE","C:\Windows\System32\drivers\iaLPSS2i_GPIO2.sys"
"BF354297A55713D9E2DD4044D42810C007733EE54D5A80D58B96DD279D92C716","C:\Windows\System32\drivers\iaLPSS2i_I2C_BXT_P.sys"
